property_type,price,bond,address,feature_bedroom,feature_bathroom,feature_parking,agent_brand,agent_name,available_date,property_details
Townhouse,750,"Bond $3,259","3/17 Beddoe Avenue, Clayton",5,2,1,Harcourts - Judd White,Danielle Budd,Available 06 Dec 2019,"Don't miss out on an opportunity to inspect this double storey townhouse positioned within walking distance to Monash University, public transport and a short drive to Monash Hospital and Monash Freeway. Comprising open plan lounge / dining room, kitchen with gas hot plates and electric oven, 5 bedrooms each with wardrobes and two bathrooms. Further features include European style laundry, gas ducted heating and air conditioning. Outside you will find a single garage with remote control access, garden shed and low maintenance rear yard. "
Apartment,400,"Bond $1,738","B325/60 Autumn Terrace, Clayton",2,2,1,Ray White - Oakleigh,Matthew Swinnerton,Available 20 Dec 2019,* Offering 2 spacious bedrooms with built-in robes* Spacious open plan living opening onto large balcony* Fantastic kitchen with gas cooking & dishwasher* Bathroom with separate shower * European laundry* En-suite to master bedroom* Split System Unit in living area* Security entrance* One undercover secure car space * Train station and shops at your doorstepAvailable to view as per the advertised inspection times or call us today for an appointment.
Townhouse,400,"Bond $1,738","5 Leaf Court, Clayton",2,1,2,LongView Real Estate - Melbourne,Lisa Yang,Available 07 Dec 2019,"Neat, clean and tidy 2 bedroom double storey townhouse in the sought after Monash Greens Estate conveniently situated nearby Monash University, Chadstone Shopping Centre, public transport, secondary and primary schools and all local amenities.Features include open planned lounge and dining with split system air conditioner, modern kitchen with stainless steel appliances - electric stove top, electric oven and dishwasher, energy efficient wall heater, built in robes to both bedrooms, central bathroom and European laundry.Added features include private paved balcony/courtyard and double garage.PLEASE NOTE: Open for Inspection Times and Property Availability are subject to change or cancellation without notice. Please refer to the listed inspection times. If no inspection time is available or you are not able to make the listed times please select Book an Inspection Time or Contact Agent and register your interest. We highly recommend registering for an inspection you are going to attend to avoid disappointment for cancellations. If you are registered to attend an inspection you will be notified via SMS if the inspection is cancelled."
Apartment,465,"Bond $3,030","G08/2-8 Murray Street, Clayton",2,1,1,Hodges - Caulfield,Sophie Kinsella,Open tomorrow 3:35pm View allAvailable now,"***IMPORTANT REGISTER TO INSPECT PROPERTIES ***This light and bright 2 bedroom ground floor apartment consists of open plan living/dining with floorboards and split system heating/cooling, kitchen with stainless steel appliances including gas cooking and built in dishwasher, built in study cupboard, euro laundry with sink, two carpeted bedrooms one with heating and the second with split system heating and cooling, both bedrooms with built in robes, central bathroom with shower over bath. Also features private courtyard, secure basement car parking and storage cage! Close to Monash University, Monash Hospital, public transport, parks, schools and restaurants.*** BOOK ONLINE NOW TO INSPECT ***Simply click ‘EMAIL AGENT’ and we’ll respond instantly with available appointment times. Register to confirm your chosen inspection times so that we can advise you of any changes or alternatively you can suggest your own time and we will confirm."
Townhouse,595,"Bond $2,585","2/82 Harlington Street, Clayton",3,3,1,Buxton - Oakleigh,Renee Trakas,Available 21 Nov 2019,"This spacious Townhouse is located in the most convenient area of Clayton. Comprising of Three Bedrooms – Two Master Bedrooms with WIR and Ensuite and One further Bedrooms Open Plan Living Area and Single Lock up Garage. Minutes away from Clayton Train Station and Local Shopping Strip, Cafes, Restaurants and so much more!!!!! Features include:Downstairs:•	Master Bedroom with WIR and Ensuite  •	Powder room•	Large Open Plan Living/Dining Area•	Modern Kitchen with Stone Bench Top•	Euro Laundry •	Single Lock up Garage •	CourtyardUpstairs:•	Master Bedroom with WIR and Ensuite•	Third Bedroom•	Main Bathroom Further Features Include:•	Split System Heating and Cooling•	Timber Floors•	Carpets•	DishwasherDo not miss out on viewing this property – It won’t last - Register Now.***We use an online booking system which operates 24/7. To book in the next available inspection, click on BOOK AN INSPECTION TIME and pick a time suitable for you, this will also register you. By registering we can notify you of any changes or cancellations***For further inquiries please call Buxton Oakleigh on 9564 2288. PHOTO 'ID' AND PHONE NUMBER MUST BE PROVIDED WITH ALL ENQUIRIES."
Townhouse,425,"Bond $2,550","16 Brushbox Court, Clayton",2,1,2,Philip Webb - MITCHAM,Kali Black,Open Thu 14 Nov 3:00pm View allAvailable 11 Dec 2019,"Located within walking distance to Monash University Clayton Campus and Monash Medical Centre this property is also close to parks, schools and a short drive to the beach.This immaculately presented townhouse features two considerable bedrooms with built in robes, the master with a private balcony and both serviced by a sparkling central bathroom with shower over bath and laundry facilities. The open plan kitchen/meals is equipped with stainless steel appliances, gas cooking, dishwasher and granite bench tops, with an open plan living area fitted with plenty of built-in storage overlooking a well maintained courtyard. This property also features split system heating/cooling, single lock up garage, driveway space for a second car, access to use of common area pool and includes garden maintenance for your convenience.With easy access to the Monash Freeway, this secure townhouse in a beautifully landscaped village offers peace and quiet with a community feel in a location that has everything you need.Unfortunately the property is not suitable for pets.Photo ID may be requested at this inspection prior to entry."
Townhouse,460,"Bond $1,998","2/66 Kionga Street, Clayton",3,2,2,Ray White - Oakleigh,Matthew Swinnerton,Open Wed 13 Nov 4:45pm View allAvailable 15 Nov 2019,"This gorgeous townhouse is sure to impress anyone who walks in!Within only a short walk to local shops, schools, parklands, public transport, Monash University and close proximity to Chadstone Shopping Centre.- 3 large bedrooms - main bedroom with WIR and full ensuite- Spacious living area- Modern kitchen with gas cooking - Large dining area- Central modern bathroom with separate shower and bathtub- 2 x WC's- Separate laundry- Private rear yard- Single lock up garage- Car space- Ducted heating throughoutProperty is available from 15th of November 2019.Available to view as per the advertised inspection times or call us today for an appointment"
Townhouse,610,"Bond $2,651","1/15 Robinson Street, Clayton",4,3,2,Ray White - Oakleigh,Johnson Tan,Open Wed 13 Nov 5:15pm View allAvailable now,"Situated at the front and on a complex of 2 dwellings this spacious town residence offers  3 bedrooms each one with a full bathroom and centrally located within walking distance to Clayton train station, bus stop, park, shops, Monash Medical Centre, cafes and close proximity to Monash University, Oakleigh Central and Monash Freeway,* 3 spacious bedrooms * One bedroom downstairs with built in robe & en suite* Main spacious bedroom upstairs with walk in robe & ensuite with bath tub* 1 further bedroom upstairs with built in robe* 4th bedroom downstairs or multi purpose room* Spacious living area with split system unit air conditioning* Modern timber kitchen with gas cooking adjoining spacious dining/meals area* Modern main bathroom upstairs with separate shower* Separate laundry with cupboards & 3 WC's in total* Spacious rear paved courtyard* Ducted heating throughout* Split system air conditioning units in both bedrooms upstairs & living area* Solar Panels* Security system* Double lock up garage with internal access"
Townhouse,530,"Bond $2,302","1/51 Edinburgh Street, Clayton",3,2,2,Ray White - Oakleigh,Matthew Swinnerton,Available 06 Dec 2019,"Boasting space and updated features, this large home has it's own street frontage and positioned ideally to Monash University, Central Clayton and it's train station.* 3 bedrooms very very generous in size all with built in robes* Master bedroom downstairs with en-suite & walk in robes* large modern central bathroom upstairs with separated shower* Modern kitchen features stainless steel appliances inclusive of dishwasher* Spacious open plan living & dining areas* Separated laundry & 2 toilets* Central heating & air conditioning downstairs* Very Low maintenance rear courtyard* Single lock up garage & off street parkingProperty Available from early DecemberAvailable to view as per the advertised inspection times or call us today for an appointment."
Townhouse,420,"Bond $1,825","1/1 Rose Street, Clayton",2,1,2,Ray White - Oakleigh,Matthew Swinnerton,Open Wed 13 Nov 3:30pm View allAvailable 15 Nov 2019,"Located minutes to Clayton train station, bus stops, shops, Monash Medical Centre, Monash Uni and parks, this spacious townhouse with its own street frontage has all you can ask for.2 large bedrooms with BIR's spacious living area with gas heatingLarge kitchen with gas cookingCentral large bathroom with separate shower and bathtubSeparate toiletSeparate laundryLow maintenance courtyardoff-street parking and single lock up garage.*Brand New Carpet to be laid*AVAILABLE 15/11/2019 AND CAN BE VIEWED  BY APPOINTMENT"
